"lon","lat"
-176.833329,59.944141
-178.166672,60.332199
-178.833327,60.7249
-178.166671,59.944142
-175.833328,60.332199
-178.833328,60.527962
-178.499999,60.724899
-178.5,60.527962
-178.166671,60.527962
-178.166673,60.1376
-178.833327,60.332199
-177.833327,60.527962
-172.5,56.634193
-163.833343,56.987369
-171.833344,57.523483
-173.166672,56.634193
-174.166671,58.067551
-172.833344,56.634193
-168.166672,56.458832
-166.166687,56.284271
-171.166672,56.810371
-169.833343,58.067551
-174.500001,58.434879
-173.833344,58.434879
-174.499999,58.806061
-173.166672,56.810371
